NAME,POS,TEAM,RTG,OPP,DEF_RTG,h/a,DK salary,DK points
COOPER KUPP,WR,LAR,99.0,HOU,2.314814814814838,away,9000,27.5
DERRICK HENRY,RB,TEN,99.0,IND,-0.6481481481481239,away,8900,6.8
ALVIN KAMARA,RB,NO,90.0,TB,-1.5370370370370239,home,8700,16.6
TYREEK HILL,WR,KC,91.0,NYG,1.1296296296296475,home,8300,27.4
KYLER MURRAY,QB,ARI,96.0,GB,-1.5370370370370239,home,8300,11.06
JUSTIN JEFFERSON,WR,MIN,88.0,DAL,1.1296296296296475,home,8200,4.1
JOSH ALLEN,QB,BUF,99.0,MIA,3.2037037037037237,home,8100,29.46
STEFON DIGGS,WR,BUF,84.0,MIA,3.2037037037037237,home,8100,15.0
DALVIN COOK,RB,MIN,86.0,DAL,1.1296296296296475,home,8000,7.8
PATRICK MAHOMES,QB,KC,96.0,NYG,1.1296296296296475,home,7900,15.0
AUSTIN EKELER,RB,LAC,91.0,NE,-1.2407407407407192,home,7900,24.4
CEEDEE LAMB,WR,DAL,87.0,MIN,-0.055555555555542924,away,7800,20.2
MIKE WILLIAMS,WR,LAC,90.0,NE,-1.2407407407407192,home,7700,3.9
MATTHEW STAFFORD,QB,LAR,95.0,HOU,2.314814814814838,away,7600,27.2
TERRY MCLAURIN,WR,WAS,86.0,DEN,-2.4259259259259096,away,7600,6.5
TRAVIS KELCE,TE,KC,99.0,NYG,1.1296296296296475,home,7500,5.7
NAJEE HARRIS,RB,PIT,90.0,CLE,-1.5370370370370239,away,7500,21.0
JA'MARR CHASE,WR,CIN,91.0,NYJ,2.314814814814838,away,7500,13.1
AARON RODGERS,QB,GB,90.0,ARI,-3.9074074074073906,away,7400,15.66
DEEBO SAMUEL,WR,SF,92.0,CHI,-0.9444444444444287,away,7400,26.1
TOM BRADY,QB,TB,93.0,NO,-2.4259259259259096,away,7400,31.2
DEANDRE HOPKINS,WR,ARI,85.0,GB,-1.5370370370370239,home,7400,8.6
JUSTIN HERBERT,QB,LAC,95.0,NE,-1.2407407407407192,home,7300,15.82
EZEKIEL ELLIOTT,RB,DAL,88.0,MIN,-0.055555555555542924,away,7300,11.3
JALEN HURTS,QB,PHI,96.0,DET,2.314814814814838,away,7200,11.22
JONATHAN TAYLOR,RB,IND,89.0,TEN,0.2407407407407618,home,7200,21.2
DJ MOORE,WR,CAR,87.0,ATL,2.0185185185185333,away,7200,9.9
JOE BURROW,QB,CIN,91.0,NYJ,2.314814814814838,away,7100,21.26
D'ANDRE SWIFT,RB,DET,88.0,PHI,1.4259259259259522,home,7100,9.1
ADAM THIELEN,WR,MIN,86.0,DAL,1.1296296296296475,home,7000,19.8
MIKE EVANS,WR,TB,88.0,NO,-2.4259259259259096,away,7000,12.8
AJ BROWN,WR,TEN,80.0,IND,-0.6481481481481239,away,6900,34.5
AARON JONES,RB,GB,86.0,ARI,-3.9074074074073906,away,6900,24.0
JOE MIXON,RB,CIN,83.0,NYJ,2.314814814814838,away,6900,25.1
DK METCALF,WR,SEA,86.0,JAX,3.2037037037037237,home,6800,22.3
NICK CHUBB,RB,CLE,85.0,PIT,-0.9444444444444287,home,6800,7.9
DIONTAE JOHNSON,WR,PIT,87.0,CLE,-1.5370370370370239,away,6700,15.8
RYAN TANNEHILL,QB,TEN,87.0,IND,-0.6481481481481239,away,6600,23.2
JAMES ROBINSON,RB,JAX,86.0,SEA,2.0185185185185333,away,6600,4.9
KIRK COUSINS,QB,MIN,92.0,DAL,1.1296296296296475,home,6500,13.16
KEENAN ALLEN,WR,LAC,83.0,NE,-1.2407407407407192,home,6500,19.7
DARRELL HENDERSON,RB,LAR,83.0,HOU,2.314814814814838,away,6500,22.3
CHRIS GODWIN,WR,TB,86.0,NO,-2.4259259259259096,away,6400,31.0
COURTLAND SUTTON,WR,DEN,83.0,WAS,3.2037037037037237,home,6400,6.0
ROBERT WOODS,WR,LAR,82.0,HOU,2.314814814814838,away,6300,20.7
LEONARD FOURNETTE,RB,TB,83.0,NO,-2.4259259259259096,away,6300,7.3
KYLE PITTS,TE,ATL,93.0,CAR,-2.7222222222222,home,6300,3.3
CHASE CLAYPOOL,WR,PIT,81.0,CLE,-1.5370370370370239,away,6300,10.1
CORDARRELLE PATTERSON,RB,ATL,88.0,CAR,-2.7222222222222,home,6200,18.2
DAMIEN HARRIS,RB,NE,81.0,LAC,0.2407407407407618,away,6100,14.0
AMARI COOPER,WR,DAL,83.0,MIN,-0.055555555555542924,away,6100,29.2
TYLER LOCKETT,WR,SEA,81.0,JAX,3.2037037037037237,home,6100,29.2
CHUBA HUBBARD,RB,CAR,76.0,ATL,2.0185185185185333,away,6000,15.1
JAMEIS WINSTON,QB,NO,87.0,TB,-1.5370370370370239,home,6000,10.24
MARVIN JONES,WR,JAX,81.0,SEA,2.0185185185185333,away,5900,8.5
MATT RYAN,QB,ATL,85.0,CAR,-2.7222222222222,home,5900,8.14
DEVONTAE BOOKER,RB,NYG,81.0,KC,2.907407407407433,away,5800,17.5
